outgoing_flight_number,origin_airport,destination_airport,layover_airport,duration,price
6X1563,JFK,CDG,6X1563,4H,205.28
6X1563,JFK,CDG,6X1563,4H,225.66
6X1563,JFK,CDG,6X1563,4H,209.19
6X1563,JFK,CDG,6X1563,4H,217.42
6X1563,JFK,CDG,6X1563,4H,213.37
6X1563,JFK,CDG,6X1563,4H,221.12
6X1563,JFK,CDG,6X1563,4H,201.23
6X1563,JFK,CDG,6X1563,4H,221.66
6X1563,JFK,CDG,6X1563,4H,223.29
6X1563,JFK,CDG,6X1563,4H,221.48
6X1563,JFK,CDG,6X1563,4H,199.88
6X1563,JFK,CDG,6X1563,4H,207.17
6X1563,JFK,CDG,6X1563,4H,209.74
6X1563,JFK,CDG,6X1563,4H,204.26
6X1563,JFK,CDG,6X1563,4H,216.09
6X1563,JFK,CDG,6X1563,4H,218.85
6X1563,JFK,CDG,6X1563,4H,225.68
6X1563,JFK,CDG,6X1563,4H,222.64
6X1563,JFK,CDG,6X1563,4H,215.15
6X1563,JFK,CDG,6X1563,4H,207.29
6X1563,JFK,CDG,6X1563,4H,227.18
6X1563,JFK,CDG,6X1563,4H,211.35
6X1563,JFK,CDG,6X1563,4H,207.92
6X1563,JFK,CDG,6X1563,4H,208.63
6X1563,JFK,CDG,6X1563,4H,207.33
6X1563,JFK,CDG,6X1563,4H,210.61
6X1563,JFK,CDG,6X1563,4H,227.16
6X1563,JFK,CDG,6X1563,4H,215.88
6X1563,JFK,CDG,6X1563,4H,214.43
6X1563,JFK,CDG,6X1563,4H,200.77
6X1563,JFK,CDG,6X1563,4H,223.56
6X1563,JFK,CDG,6X1563,4H,203.24
6X1563,JFK,CDG,6X1563,4H,201.10
6X1563,JFK,CDG,6X1563,4H,214.79
6X1563,JFK,CDG,6X1563,4H,216.29
6X1563,JFK,CDG,6X1563,4H,207.30
6X1563,JFK,CDG,6X1563,4H,217.62
6X1563,JFK,CDG,6X1563,4H,224.06
6X1563,JFK,CDG,6X1563,4H,224.18
6X1563,JFK,CDG,6X1563,4H,210.51
6X1563,JFK,CDG,6X1563,4H,216.11
6X1563,JFK,CDG,6X1563,4H,214.67
6X1563,JFK,CDG,6X1563,4H,225.67
6X1563,JFK,CDG,6X1563,4H,201.32
6X1563,JFK,CDG,6X1563,4H,200.44
6X1563,JFK,CDG,6X1563,4H,225.92
6X1563,JFK,CDG,6X1563,4H,218.79
6X1563,JFK,CDG,6X1563,4H,224.13
6X1563,JFK,CDG,6X1563,4H,212.29
6X1563,JFK,CDG,6X1563,4H,221.93
6X1563,JFK,CDG,6X1563,4H,216.49
6X1563,JFK,CDG,6X1563,4H,217.83
6X1563,JFK,CDG,6X1563,4H,213.76
6X1563,JFK,CDG,6X1563,4H,208.45
6X1563,JFK,CDG,6X1563,4H,227.51
6X1563,JFK,CDG,6X1563,4H,217.21
6X1563,JFK,CDG,6X1563,4H,214.28
6X1563,JFK,CDG,6X1563,4H,222.88
6X1563,JFK,CDG,6X1563,4H,218.95
6X1563,JFK,CDG,6X1563,4H,204.49
6X1563,JFK,CDG,6X1563,4H,211.56
6X1563,JFK,CDG,6X1563,4H,203.81
6X1563,JFK,CDG,6X1563,4H,213.46
6X1563,JFK,CDG,6X1563,4H,200.10
6X1563,JFK,CDG,6X1563,4H,225.47
6X1563,JFK,CDG,6X1563,4H,209.13
6X1563,JFK,CDG,6X1563,4H,201.72
6X1563,JFK,CDG,6X1563,4H,211.96
6X1563,JFK,CDG,6X1563,4H,197.66
6X1563,JFK,CDG,6X1563,4H,226.80
6X1563,JFK,CDG,6X1563,4H,219.71
6X1563,JFK,CDG,6X1563,4H,201.19
6X1563,JFK,CDG,6X1563,4H,210.50
6X1563,JFK,CDG,6X1563,4H,202.04
6X1563,JFK,CDG,6X1563,4H,199.75
6X1563,JFK,CDG,6X1563,4H,199.19
6X1563,JFK,CDG,6X1563,4H,225.32
6X1563,JFK,CDG,6X1563,4H,206.82
6X1563,JFK,CDG,6X1563,4H,204.99
6X1563,JFK,CDG,6X1563,4H,216.62
6X1563,JFK,CDG,6X1563,4H,211.81
6X1563,JFK,CDG,6X1563,4H,213.74
6X1563,JFK,CDG,6X1563,4H,198.38
6X1563,JFK,CDG,6X1563,4H,208.51
6X1563,JFK,CDG,6X1563,4H,199.20
6X1563,JFK,CDG,6X1563,4H,205.63
6X1563,JFK,CDG,6X1563,4H,219.82
6X1563,JFK,CDG,6X1563,4H,212.51
6X1563,JFK,CDG,6X1563,4H,223.66
6X1563,JFK,CDG,6X1563,4H,215.22
6X1563,JFK,CDG,6X1563,4H,208.50
6X1563,JFK,CDG,6X1563,4H,217.68
6X1563,JFK,CDG,6X1563,4H,216.52
6X1563,JFK,CDG,6X1563,4H,215.25
6X1563,JFK,CDG,6X1563,4H,221.55
6X1563,JFK,CDG,6X1563,4H,210.69
6X1563,JFK,CDG,6X1563,4H,204.18
6X1563,JFK,CDG,6X1563,4H,219.46
6X1563,JFK,CDG,6X1563,4H,225.76
6X1563,JFK,CDG,6X1563,4H,214.01
6X1563,JFK,CDG,6X1563,4H,212.13
6X1563,JFK,CDG,6X1563,4H,217.63
6X1563,JFK,CDG,6X1563,4H,215.03
6X1563,JFK,CDG,6X1563,4H,226.63
6X1563,JFK,CDG,6X1563,4H,223.90
6X1563,JFK,CDG,6X1563,4H,204.91
6X1563,JFK,CDG,6X1563,4H,223.55
6X1563,JFK,CDG,6X1563,4H,202.59
6X1563,JFK,CDG,6X1563,4H,199.32
6X1563,JFK,CDG,6X1563,4H,205.23
6X1563,JFK,CDG,6X1563,4H,212.54
6X1563,JFK,CDG,6X1563,4H,225.46
6X1563,JFK,CDG,6X1563,4H,216.26
6X1563,JFK,CDG,6X1563,4H,212.39
6X1563,JFK,CDG,6X1563,4H,217.74
6X1563,JFK,CDG,6X1563,4H,198.48
6X1563,JFK,CDG,6X1563,4H,215.97
6X1563,JFK,CDG,6X1563,4H,199.28
6X1563,JFK,CDG,6X1563,4H,204.45
6X1563,JFK,CDG,6X1563,4H,209.75
6X1563,JFK,CDG,6X1563,4H,213.56
6X1563,JFK,CDG,6X1563,4H,205.73
6X1563,JFK,CDG,6X1563,4H,208.04
6X1563,JFK,CDG,6X1563,4H,200.35
6X1563,JFK,CDG,6X1563,4H,202.92
6X1563,JFK,CDG,6X1563,4H,219.82
6X1563,JFK,CDG,6X1563,4H,219.50
6X1563,JFK,CDG,6X1563,4H,200.03
6X1563,JFK,CDG,6X1563,4H,218.93
6X1563,JFK,CDG,6X1563,4H,224.11
6X1563,JFK,CDG,6X1563,4H,198.65
6X1563,JFK,CDG,6X1563,4H,210.07
6X1563,JFK,CDG,6X1563,4H,199.14
6X1563,JFK,CDG,6X1563,4H,199.25
6X1563,JFK,CDG,6X1563,4H,200.91
6X1563,JFK,CDG,6X1563,4H,206.73
6X1563,JFK,CDG,6X1563,4H,222.73
6X1563,JFK,CDG,6X1563,4H,221.58
6X1563,JFK,CDG,6X1563,4H,208.49
6X1563,JFK,CDG,6X1563,4H,220.86
6X1563,JFK,CDG,6X1563,4H,225.73
6X1563,JFK,CDG,6X1563,4H,198.48
6X1563,JFK,CDG,6X1563,4H,212.45
6X1563,JFK,CDG,6X1563,4H,209.37
6X1563,JFK,CDG,6X1563,4H,218.93
6X1563,JFK,CDG,6X1563,4H,226.64
6X1563,JFK,CDG,6X1563,4H,218.30
6X1563,JFK,CDG,6X1563,4H,223.60
6X1563,JFK,CDG,6X1563,4H,198.04
6X1563,JFK,CDG,6X1563,4H,212.53
6X1563,JFK,CDG,6X1563,4H,205.57
6X1563,JFK,CDG,6X1563,4H,226.78
6X1563,JFK,CDG,6X1563,4H,204.84
6X1563,JFK,CDG,6X1563,4H,202.30
6X1563,JFK,CDG,6X1563,4H,220.06
6X1563,JFK,CDG,6X1563,4H,198.62
6X1563,JFK,CDG,6X1563,4H,213.19
6X1563,JFK,CDG,6X1563,4H,209.59
6X1563,JFK,CDG,6X1563,4H,206.64
6X1563,JFK,CDG,6X1563,4H,209.31
6X1563,JFK,CDG,6X1563,4H,214.90
6X1563,JFK,CDG,6X1563,4H,224.56
6X1563,JFK,CDG,6X1563,4H,211.15
6X1563,JFK,CDG,6X1563,4H,217.95
6X1563,JFK,CDG,6X1563,4H,217.22
6X1563,JFK,CDG,6X1563,4H,215.30
6X1563,JFK,CDG,6X1563,4H,200.58
6X1563,JFK,CDG,6X1563,4H,211.55
6X1563,JFK,CDG,6X1563,4H,206.82
6X1563,JFK,CDG,6X1563,4H,224.82
6X1563,JFK,CDG,6X1563,4H,223.43
6X1563,JFK,CDG,6X1563,4H,220.12
6X1563,JFK,CDG,6X1563,4H,224.04
6X1563,JFK,CDG,6X1563,4H,201.41
6X1563,JFK,CDG,6X1563,4H,224.76
6X1563,JFK,CDG,6X1563,4H,201.71
6X1563,JFK,CDG,6X1563,4H,225.65
6X1563,JFK,CDG,6X1563,4H,198.97
6X1563,JFK,CDG,6X1563,4H,214.80
6X1563,JFK,CDG,6X1563,4H,227.37
6X1563,JFK,CDG,6X1563,4H,225.59
6X1563,JFK,CDG,6X1563,4H,205.53
6X1563,JFK,CDG,6X1563,4H,204.59
6X1563,JFK,CDG,6X1563,4H,221.06
6X1563,JFK,CDG,6X1563,4H,199.27
6X1563,JFK,CDG,6X1563,4H,203.81
6X1563,JFK,CDG,6X1563,4H,198.47
6X1563,JFK,CDG,6X1563,4H,222.73
6X1563,JFK,CDG,6X1563,4H,200.21
6X1563,JFK,CDG,6X1563,4H,216.12
6X1563,JFK,CDG,6X1563,4H,209.55
6X1563,JFK,CDG,6X1563,4H,204.72
6X1563,JFK,CDG,6X1563,4H,225.78
6X1563,JFK,CDG,6X1563,4H,218.52
6X1563,JFK,CDG,6X1563,4H,212.46
6X1563,JFK,CDG,6X1563,4H,201.54
6X1563,JFK,CDG,6X1563,4H,213.73
6X1563,JFK,CDG,6X1563,4H,204.36
6X1563,JFK,CDG,6X1563,4H,226.20
6X1563,JFK,CDG,6X1563,4H,222.07
6X1563,JFK,CDG,6X1563,4H,211.29
6X1563,JFK,CDG,6X1563,4H,226.80
6X1563,JFK,CDG,6X1563,4H,219.49
6X1563,JFK,CDG,6X1563,4H,199.86
6X1563,JFK,CDG,6X1563,4H,225.26
6X1563,JFK,CDG,6X1563,4H,212.22
6X1563,JFK,CDG,6X1563,4H,201.84
6X1563,JFK,CDG,6X1563,4H,223.12
6X1563,JFK,CDG,6X1563,4H,213.59
6X1563,JFK,CDG,6X1563,4H,222.44
6X1563,JFK,CDG,6X1563,4H,214.80
6X1563,JFK,CDG,6X1563,4H,199.60
6X1563,JFK,CDG,6X1563,4H,207.20
6X1563,JFK,CDG,6X1563,4H,203.18
6X1563,JFK,CDG,6X1563,4H,220.37
6X1563,JFK,CDG,6X1563,4H,214.16
6X1563,JFK,CDG,6X1563,4H,215.19
6X1563,JFK,CDG,6X1563,4H,208.84
6X1563,JFK,CDG,6X1563,4H,227.21
6X1563,JFK,CDG,6X1563,4H,207.50
6X1563,JFK,CDG,6X1563,4H,206.37
6X1563,JFK,CDG,6X1563,4H,200.09
6X1563,JFK,CDG,6X1563,4H,199.07
6X1563,JFK,CDG,6X1563,4H,203.86
6X1563,JFK,CDG,6X1563,4H,216.29
6X1563,JFK,CDG,6X1563,4H,210.49
6X1563,JFK,CDG,6X1563,4H,205.79
6X1563,JFK,CDG,6X1563,4H,213.02
6X1563,JFK,CDG,6X1563,4H,220.92
6X1563,JFK,CDG,6X1563,4H,221.48
6X1563,JFK,CDG,6X1563,4H,212.75
6X1563,JFK,CDG,6X1563,4H,198.41
6X1563,JFK,CDG,6X1563,4H,225.99
6X1563,JFK,CDG,6X1563,4H,201.58
6X1563,JFK,CDG,6X1563,4H,212.43
6X1563,JFK,CDG,6X1563,4H,217.18
6X1563,JFK,CDG,6X1563,4H,224.83
6X1563,JFK,CDG,6X1563,4H,228.87
6X1563,JFK,CDG,6X1563,4H,222.17
6X1563,JFK,CDG,6X1563,4H,204.63
6X1563,JFK,CDG,6X1563,4H,220.53
6X1563,JFK,CDG,6X1563,4H,228.01
6X1563,JFK,CDG,6X1563,4H,210.89
6X1563,JFK,CDG,6X1563,4H,205.35
6X1563,JFK,CDG,6X1563,4H,202.63
6X1563,JFK,CDG,6X1563,4H,223.43
6X1563,JFK,CDG,6X1563,4H,219.92
6X1563,JFK,CDG,6X1563,4H,216.70
6X1563,JFK,CDG,6X1563,4H,213.69
6X1563,JFK,CDG,6X1563,4H,204.91
6X1563,JFK,CDG,6X1563,4H,229.35
6X1563,JFK,CDG,6X1563,4H,223.22
6X1563,JFK,CDG,6X1563,4H,223.19
6X1563,JFK,CDG,6X1563,4H,221.47
6X1563,JFK,CDG,6X1563,4H,227.91
6X1563,JFK,CDG,6X1563,4H,202.58
6X1563,JFK,CDG,6X1563,4H,205.20
6X1563,JFK,CDG,6X1563,4H,202.85
6X1563,JFK,CDG,6X1563,4H,214.29
6X1563,JFK,CDG,6X1563,4H,215.75
6X1563,JFK,CDG,6X1563,4H,202.33
6X1563,JFK,CDG,6X1563,4H,220.17
6X1563,JFK,CDG,6X1563,4H,202.54
6X1563,JFK,CDG,6X1563,4H,218.58
6X1563,JFK,CDG,6X1563,4H,215.37
6X1563,JFK,CDG,6X1563,4H,228.02
6X1563,JFK,CDG,6X1563,4H,205.56
6X1563,JFK,CDG,6X1563,4H,211.41
6X1563,JFK,CDG,6X1563,4H,225.87
6X1563,JFK,CDG,6X1563,4H,227.95
6X1563,JFK,CDG,6X1563,4H,226.66
6X1563,JFK,CDG,6X1563,4H,203.22
6X1563,JFK,CDG,6X1563,4H,216.61
6X1563,JFK,CDG,6X1563,4H,204.36
6X1563,JFK,CDG,6X1563,4H,225.43
6X1563,JFK,CDG,6X1563,4H,226.52
6X1563,JFK,CDG,6X1563,4H,227.94
6X1563,JFK,CDG,6X1563,4H,227.97
6X1563,JFK,CDG,6X1563,4H,201.52
6X1563,JFK,CDG,6X1563,4H,205.86
6X1563,JFK,CDG,6X1563,4H,227.17
6X1563,JFK,CDG,6X1563,4H,210.07
6X1563,JFK,CDG,6X1563,4H,208.73
6X1563,JFK,CDG,6X1563,4H,229.03
6X1563,JFK,CDG,6X1563,4H,223.38
6X1563,JFK,CDG,6X1563,4H,212.09
6X1563,JFK,CDG,6X1563,4H,200.64
6X1563,JFK,CDG,6X1563,4H,214.30
6X1563,JFK,CDG,6X1563,4H,200.87
6X1563,JFK,CDG,6X1563,4H,209.40
6X1563,JFK,CDG,6X1563,4H,209.61
6X1563,JFK,CDG,6X1563,4H,229.44
6X1563,JFK,CDG,6X1563,4H,221.78
6X1563,JFK,CDG,6X1563,4H,216.93
6X1563,JFK,CDG,6X1563,4H,222.03
6X1563,JFK,CDG,6X1563,4H,219.69
6X1563,JFK,CDG,6X1563,4H,220.91
6X1563,JFK,CDG,6X1563,4H,205.22
6X1563,JFK,CDG,6X1563,4H,225.03
6X1563,JFK,CDG,6X1563,4H,211.28
6X1563,JFK,CDG,6X1563,4H,215.07
6X1563,JFK,CDG,6X1563,4H,211.12
6X1563,JFK,CDG,6X1563,4H,212.49
6X1563,JFK,CDG,6X1563,4H,204.98
6X1563,JFK,CDG,6X1563,4H,223.67
6X1563,JFK,CDG,6X1563,4H,215.23
6X1563,JFK,CDG,6X1563,4H,212.83
6X1563,JFK,CDG,6X1563,4H,220.91
6X1563,JFK,CDG,6X1563,4H,218.30
6X1563,JFK,CDG,6X1563,4H,200.59
6X1563,JFK,CDG,6X1563,4H,225.48
6X1563,JFK,CDG,6X1563,4H,230.37
6X1563,JFK,CDG,6X1563,4H,225.64
6X1563,JFK,CDG,6X1563,4H,202.23
6X1563,JFK,CDG,6X1563,4H,229.10
6X1563,JFK,CDG,6X1563,4H,223.95
6X1563,JFK,CDG,6X1563,4H,230.45
6X1563,JFK,CDG,6X1563,4H,205.87
6X1563,JFK,CDG,6X1563,4H,221.36
6X1563,JFK,CDG,6X1563,4H,226.92
6X1563,JFK,CDG,6X1563,4H,204.29
6X1563,JFK,CDG,6X1563,4H,216.51
6X1563,JFK,CDG,6X1563,4H,227.85
6X1563,JFK,CDG,6X1563,4H,213.08
6X1563,JFK,CDG,6X1563,4H,229.81
6X1563,JFK,CDG,6X1563,4H,223.24
6X1563,JFK,CDG,6X1563,4H,226.40
6X1563,JFK,CDG,6X1563,4H,226.70
6X1563,JFK,CDG,6X1563,4H,200.99
6X1563,JFK,CDG,6X1563,4H,205.54
6X1563,JFK,CDG,6X1563,4H,212.83
6X1563,JFK,CDG,6X1563,4H,219.64
6X1563,JFK,CDG,6X1563,4H,206.04
6X1563,JFK,CDG,6X1563,4H,228.95
6X1563,JFK,CDG,6X1563,4H,224.40
6X1563,JFK,CDG,6X1563,4H,205.70
6X1563,JFK,CDG,6X1563,4H,201.98
6X1563,JFK,CDG,6X1563,4H,214.22
6X1563,JFK,CDG,6X1563,4H,209.29
6X1563,JFK,CDG,6X1563,4H,218.74
6X1563,JFK,CDG,6X1563,4H,208.18
6X1563,JFK,CDG,6X1563,4H,202.91
6X1563,JFK,CDG,6X1563,4H,212.30
6X1563,JFK,CDG,6X1563,4H,222.99
6X1563,JFK,CDG,6X1563,4H,230.26
6X1563,JFK,CDG,6X1563,4H,205.80
6X1563,JFK,CDG,6X1563,4H,220.72
6X1563,JFK,CDG,6X1563,4H,225.19
6X1563,JFK,CDG,6X1563,4H,215.81
6X1563,JFK,CDG,6X1563,4H,216.38
6X1563,JFK,CDG,6X1563,4H,228.66
6X1563,JFK,CDG,6X1563,4H,227.15
6X1563,JFK,CDG,6X1563,4H,219.58
6X1563,JFK,CDG,6X1563,4H,211.61
6X1563,JFK,CDG,6X1563,4H,223.10
6X1563,JFK,CDG,6X1563,4H,225.14
6X1563,JFK,CDG,6X1563,4H,217.72
6X1563,JFK,CDG,6X1563,4H,215.14
6X1563,JFK,CDG,6X1563,4H,201.39
6X1563,JFK,CDG,6X1563,4H,228.65
6X1563,JFK,CDG,6X1563,4H,208.36
6X1563,JFK,CDG,6X1563,4H,204.97
6X1563,JFK,CDG,6X1563,4H,227.02
6X1563,JFK,CDG,6X1563,4H,225.58
6X1563,JFK,CDG,6X1563,4H,230.14
6X1563,JFK,CDG,6X1563,4H,217.31
6X1563,JFK,CDG,6X1563,4H,218.48
6X1563,JFK,CDG,6X1563,4H,223.98
6X1563,JFK,CDG,6X1563,4H,229.53
6X1563,JFK,CDG,6X1563,4H,212.14
6X1563,JFK,CDG,6X1563,4H,205.03
6X1563,JFK,CDG,6X1563,4H,201.68
6X1563,JFK,CDG,6X1563,4H,204.02
6X1563,JFK,CDG,6X1563,4H,212.58
6X1563,JFK,CDG,6X1563,4H,213.32
6X1563,JFK,CDG,6X1563,4H,225.45
6X1563,JFK,CDG,6X1563,4H,209.54
6X1563,JFK,CDG,6X1563,4H,220.86
6X1563,JFK,CDG,6X1563,4H,229.47
6X1563,JFK,CDG,6X1563,4H,209.14
6X1563,JFK,CDG,6X1563,4H,228.35
6X1563,JFK,CDG,6X1563,4H,227.04
6X1563,JFK,CDG,6X1563,4H,223.22
6X1563,JFK,CDG,6X1563,4H,217.38
6X1563,JFK,CDG,6X1563,4H,227.07
6X1563,JFK,CDG,6X1563,4H,204.35
6X1563,JFK,CDG,6X1563,4H,213.41
6X1563,JFK,CDG,6X1563,4H,216.42
6X1563,JFK,CDG,6X1563,4H,213.93
6X1563,JFK,CDG,6X1563,4H,215.16
6X1563,JFK,CDG,6X1563,4H,227.76
6X1563,JFK,CDG,6X1563,4H,227.37
6X1563,JFK,CDG,6X1563,4H,229.95
6X1563,JFK,CDG,6X1563,4H,226.15
6X1563,JFK,CDG,6X1563,4H,214.73
6X1563,JFK,CDG,6X1563,4H,209.14
6X1563,JFK,CDG,6X1563,4H,229.80
6X1563,JFK,CDG,6X1563,4H,228.29
6X1563,JFK,CDG,6X1563,4H,200.52
6X1563,JFK,CDG,6X1563,4H,228.83
6X1563,JFK,CDG,6X1563,4H,205.83
6X1563,JFK,CDG,6X1563,4H,208.83
6X1563,JFK,CDG,6X1563,4H,201.04
6X1563,JFK,CDG,6X1563,4H,226.46
6X1563,JFK,CDG,6X1563,4H,211.51
6X1563,JFK,CDG,6X1563,4H,206.15
6X1563,JFK,CDG,6X1563,4H,205.96
6X1563,JFK,CDG,6X1563,4H,228.02
6X1563,JFK,CDG,6X1563,4H,219.97
6X1563,JFK,CDG,6X1563,4H,216.93
6X1563,JFK,CDG,6X1563,4H,220.52
6X1563,JFK,CDG,6X1563,4H,206.75
6X1563,JFK,CDG,6X1563,4H,228.52
6X1563,JFK,CDG,6X1563,4H,215.70
6X1563,JFK,CDG,6X1563,4H,229.89
6X1563,JFK,CDG,6X1563,4H,207.00
6X1563,JFK,CDG,6X1563,4H,220.75
6X1563,JFK,CDG,6X1563,4H,222.09
6X1563,JFK,CDG,6X1563,4H,221.29
6X1563,JFK,CDG,6X1563,4H,217.29
6X1563,JFK,CDG,6X1563,4H,225.06
6X1563,JFK,CDG,6X1563,4H,228.89
6X1563,JFK,CDG,6X1563,4H,220.24
6X1563,JFK,CDG,6X1563,4H,200.76
6X1563,JFK,CDG,6X1563,4H,211.36
6X1563,JFK,CDG,6X1563,4H,215.76
6X1563,JFK,CDG,6X1563,4H,209.44
6X1563,JFK,CDG,6X1563,4H,210.41
6X1563,JFK,CDG,6X1563,4H,226.41
6X1563,JFK,CDG,6X1563,4H,218.57
6X1563,JFK,CDG,6X1563,4H,221.80
6X1563,JFK,CDG,6X1563,4H,224.76
6X1563,JFK,CDG,6X1563,4H,223.17
6X1563,JFK,CDG,6X1563,4H,222.48
6X1563,JFK,CDG,6X1563,4H,213.35
6X1563,JFK,CDG,6X1563,4H,225.84
6X1563,JFK,CDG,6X1563,4H,210.26
6X1563,JFK,CDG,6X1563,4H,219.26
6X1563,JFK,CDG,6X1563,4H,226.38
6X1563,JFK,CDG,6X1563,4H,226.39
6X1563,JFK,CDG,6X1563,4H,224.22
6X1563,JFK,CDG,6X1563,4H,224.14
6X1563,JFK,CDG,6X1563,4H,219.42
6X1563,JFK,CDG,6X1563,4H,226.47
6X1563,JFK,CDG,6X1563,4H,229.97
6X1563,JFK,CDG,6X1563,4H,216.83
6X1563,JFK,CDG,6X1563,4H,207.20
6X1563,JFK,CDG,6X1563,4H,211.32
6X1563,JFK,CDG,6X1563,4H,223.39
6X1563,JFK,CDG,6X1563,4H,223.06
6X1563,JFK,CDG,6X1563,4H,221.72
6X1563,JFK,CDG,6X1563,4H,202.54
6X1563,JFK,CDG,6X1563,4H,214.30
6X1563,JFK,CDG,6X1563,4H,218.95
6X1563,JFK,CDG,6X1563,4H,213.97
6X1563,JFK,CDG,6X1563,4H,223.46
6X1563,JFK,CDG,6X1563,4H,208.72
6X1563,JFK,CDG,6X1563,4H,229.53
6X1563,JFK,CDG,6X1563,4H,205.90
6X1563,JFK,CDG,6X1563,4H,226.30
6X1563,JFK,CDG,6X1563,4H,225.62
6X1563,JFK,CDG,6X1563,4H,205.30
6X1563,JFK,CDG,6X1563,4H,202.40
6X1563,JFK,CDG,6X1563,4H,224.45
6X1563,JFK,CDG,6X1563,4H,225.40
6X1563,JFK,CDG,6X1563,4H,206.48
6X1563,JFK,CDG,6X1563,4H,224.77
6X1563,JFK,CDG,6X1563,4H,207.18
6X1563,JFK,CDG,6X1563,4H,226.06
6X1563,JFK,CDG,6X1563,4H,204.40
6X1563,JFK,CDG,6X1563,4H,209.66
6X1563,JFK,CDG,6X1563,4H,226.23
6X1563,JFK,CDG,6X1563,4H,216.73
6X1563,JFK,CDG,6X1563,4H,221.90
6X1563,JFK,CDG,6X1563,4H,220.71
6X1563,JFK,CDG,6X1563,4H,214.67
6X1563,JFK,CDG,6X1563,4H,208.56
6X1563,JFK,CDG,6X1563,4H,211.12
6X1563,JFK,CDG,6X1563,4H,204.47
6X1563,JFK,CDG,6X1563,4H,227.88
6X1563,JFK,CDG,6X1563,4H,218.99
6X1563,JFK,CDG,6X1563,4H,226.87
6X1563,JFK,CDG,6X1563,4H,217.63
6X1563,JFK,CDG,6X1563,4H,203.65
6X1563,JFK,CDG,6X1563,4H,207.42
6X1563,JFK,CDG,6X1563,4H,206.55
6X1563,JFK,CDG,6X1563,4H,208.39
6X1563,JFK,CDG,6X1563,4H,205.15
6X1563,JFK,CDG,6X1563,4H,218.11
6X1563,JFK,CDG,6X1563,4H,204.65
6X1563,JFK,CDG,6X1563,4H,222.51
6X1563,JFK,CDG,6X1563,4H,204.62
6X1563,JFK,CDG,6X1563,4H,220.19
6X1563,JFK,CDG,6X1563,4H,219.50
